dataset,seed,setting,method,ridge_alpha,graph_min_weight,graph_weight_power,graph_self_weight,state_count,auto_states,min_state_improvement,threshold_passed,kmeans_improvement,n_windows,true_state_count,inferred_state_count,adjusted_rand,aligned_accuracy,mean_label_purity,true_label_counts,inferred_state_counts,state_mapping,mae,rmse,node_rmse_mean,node_rmse_max
HydraulicSystems_hydraulic_accumulator,0,auto_k2_min_0.00,Dense Ridge,1.0,,,,2,True,0.0,True,0.047686281420963726,617,4,2,0.045483408346723285,0.4359805510534846,0.9943273905996759,100:106;115:107;130:186;90:218,0:316;1:301,"{""0"": ""90"", ""1"": ""130""}",0.04644940013362614,0.1554111584263074,0.07982692614779191,0.4172899154690502
HydraulicSystems_hydraulic_accumulator,0,auto_k2_min_0.00,DynVAR-Lasso Weighted Ridge,1.0,0.1,1.0,1.0,2,True,0.0,True,0.047686281420963726,617,4,2,0.045483408346723285,0.4359805510534846,0.9943273905996759,100:106;115:107;130:186;90:218,0:316;1:301,"{""0"": ""90"", ""1"": ""130""}",0.04639780512558248,0.15553755670423755,0.07987269987609921,0.4177202914303357
HydraulicSystems_hydraulic_accumulator,0,auto_k2_min_0.00,STCG-v1 Weighted Ridge,1.0,0.1,1.0,1.0,2,True,0.0,True,0.047686281420963726,617,4,2,0.045483408346723285,0.4359805510534846,0.9943273905996759,100:106;115:107;130:186;90:218,0:316;1:301,"{""0"": ""90"", ""1"": ""130""}",0.04630720881324929,0.15565197733729516,0.07987599415503442,0.418178868315424
HydraulicSystems_hydraulic_accumulator,0,forced_k2,Dense Ridge,1.0,,,,2,False,0.0,True,0.047686281420963726,617,4,2,0.045483408346723285,0.4359805510534846,0.9943273905996759,100:106;115:107;130:186;90:218,0:316;1:301,"{""0"": ""90"", ""1"": ""130""}",0.04644940013362614,0.1554111584263074,0.07982692614779191,0.4172899154690502
HydraulicSystems_hydraulic_accumulator,0,forced_k2,DynVAR-Lasso Weighted Ridge,1.0,0.1,1.0,1.0,2,False,0.0,True,0.047686281420963726,617,4,2,0.045483408346723285,0.4359805510534846,0.9943273905996759,100:106;115:107;130:186;90:218,0:316;1:301,"{""0"": ""90"", ""1"": ""130""}",0.04639780512558248,0.15553755670423755,0.07987269987609921,0.4177202914303357
HydraulicSystems_hydraulic_accumulator,0,forced_k2,STCG-v1 Weighted Ridge,1.0,0.1,1.0,1.0,2,False,0.0,True,0.047686281420963726,617,4,2,0.045483408346723285,0.4359805510534846,0.9943273905996759,100:106;115:107;130:186;90:218,0:316;1:301,"{""0"": ""90"", ""1"": ""130""}",0.04630720881324929,0.15565197733729516,0.07987599415503442,0.418178868315424
HydraulicSystems_hydraulic_accumulator,0,auto_k3_min_0.00,Dense Ridge,1.0,,,,3,True,0.0,True,0.07052086346303117,617,4,3,0.15071784417449594,0.5251215559157212,0.9943273905996759,100:106;115:107;130:186;90:218,0:306;1:117;2:194,"{""0"": ""90"", ""1"": ""100"", ""2"": ""130""}",0.04644940013362614,0.1554111584263074,0.07982692614779191,0.4172899154690502
HydraulicSystems_hydraulic_accumulator,0,auto_k3_min_0.00,DynVAR-Lasso Weighted Ridge,1.0,0.1,1.0,1.0,3,True,0.0,True,0.07052086346303117,617,4,3,0.15071784417449594,0.5251215559157212,0.9943273905996759,100:106;115:107;130:186;90:218,0:306;1:117;2:194,"{""0"": ""90"", ""1"": ""100"", ""2"": ""130""}",0.04639780512558248,0.15553755670423755,0.07987269987609921,0.4177202914303357
HydraulicSystems_hydraulic_accumulator,0,auto_k3_min_0.00,STCG-v1 Weighted Ridge,1.0,0.1,1.0,1.0,3,True,0.0,True,0.07052086346303117,617,4,3,0.15071784417449594,0.5251215559157212,0.9943273905996759,100:106;115:107;130:186;90:218,0:306;1:117;2:194,"{""0"": ""90"", ""1"": ""100"", ""2"": ""130""}",0.046313243640269425,0.1556134150943039,0.07986349696375379,0.41806285480629163
HydraulicSystems_hydraulic_accumulator,0,forced_k3,Dense Ridge,1.0,,,,3,False,0.0,True,0.07052086346303117,617,4,3,0.15071784417449594,0.5251215559157212,0.9943273905996759,100:106;115:107;130:186;90:218,0:306;1:117;2:194,"{""0"": ""90"", ""1"": ""100"", ""2"": ""130""}",0.04644940013362614,0.1554111584263074,0.07982692614779191,0.4172899154690502
HydraulicSystems_hydraulic_accumulator,0,forced_k3,DynVAR-Lasso Weighted Ridge,1.0,0.1,1.0,1.0,3,False,0.0,True,0.07052086346303117,617,4,3,0.15071784417449594,0.5251215559157212,0.9943273905996759,100:106;115:107;130:186;90:218,0:306;1:117;2:194,"{""0"": ""90"", ""1"": ""100"", ""2"": ""130""}",0.04639780512558248,0.15553755670423755,0.07987269987609921,0.4177202914303357
HydraulicSystems_hydraulic_accumulator,0,forced_k3,STCG-v1 Weighted Ridge,1.0,0.1,1.0,1.0,3,False,0.0,True,0.07052086346303117,617,4,3,0.15071784417449594,0.5251215559157212,0.9943273905996759,100:106;115:107;130:186;90:218,0:306;1:117;2:194,"{""0"": ""90"", ""1"": ""100"", ""2"": ""130""}",0.046313243640269425,0.1556134150943039,0.07986349696375379,0.41806285480629163
HydraulicSystems_hydraulic_accumulator,0,auto_k4_min_0.00,Dense Ridge,1.0,,,,4,True,0.0,True,0.08863436514901016,617,4,4,0.1319039966850358,0.49108589951377635,0.9943273905996759,100:106;115:107;130:186;90:218,0:284;1:165;2:15;3:153,"{""0"": ""90"", ""1"": ""130"", ""2"": ""115"", ""3"": ""100""}",0.04644940013362614,0.1554111584263074,0.07982692614779191,0.4172899154690502
HydraulicSystems_hydraulic_accumulator,0,auto_k4_min_0.00,DynVAR-Lasso Weighted Ridge,1.0,0.1,1.0,1.0,4,True,0.0,True,0.08863436514901016,617,4,4,0.1319039966850358,0.49108589951377635,0.9943273905996759,100:106;115:107;130:186;90:218,0:284;1:165;2:15;3:153,"{""0"": ""90"", ""1"": ""130"", ""2"": ""115"", ""3"": ""100""}",0.04639780512558248,0.15553755670423755,0.07987269987609921,0.4177202914303357
HydraulicSystems_hydraulic_accumulator,0,auto_k4_min_0.00,STCG-v1 Weighted Ridge,1.0,0.1,1.0,1.0,4,True,0.0,True,0.08863436514901016,617,4,4,0.1319039966850358,0.49108589951377635,0.9943273905996759,100:106;115:107;130:186;90:218,0:284;1:165;2:15;3:153,"{""0"": ""90"", ""1"": ""130"", ""2"": ""115"", ""3"": ""100""}",0.046321941511596756,0.1555854801619721,0.07985694916833615,0.417965688144575
HydraulicSystems_hydraulic_accumulator,0,forced_k4,Dense Ridge,1.0,,,,4,False,0.0,True,0.08863436514901016,617,4,4,0.1319039966850358,0.49108589951377635,0.9943273905996759,100:106;115:107;130:186;90:218,0:284;1:165;2:15;3:153,"{""0"": ""90"", ""1"": ""130"", ""2"": ""115"", ""3"": ""100""}",0.04644940013362614,0.1554111584263074,0.07982692614779191,0.4172899154690502
