dataset,setting,method,n,ridge_alpha,graph_min_weight,graph_weight_power,graph_self_weight,state_count,auto_states,min_state_improvement,threshold_pass_rate,inferred_state_count_distribution,mae_mean,mae_std,rmse_mean,rmse_std,node_rmse_mean_mean,node_rmse_mean_std,node_rmse_max_mean,node_rmse_max_std,kmeans_improvement_mean,kmeans_improvement_std,temporal_coherence_mean,temporal_coherence_std,adjusted_rand_mean,adjusted_rand_std,aligned_accuracy_mean,aligned_accuracy_std,mean_label_purity_mean,mean_label_purity_std,delta_vs_same_alpha_dense_rmse,delta_vs_best_dense_rmse,delta_vs_dynvar_weighted_rmse,meaningfully_beats_same_alpha_dense,meaningfully_beats_best_dense,meaningfully_beats_dynvar_weighted
AReMActivities,auto_k2_min_0.02,STCG-v1 Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.02,1.0,"{""2"": 5}",0.568235906370142,0.0,0.9057593243797266,0.0,0.8342702349030438,0.0,1.4539258250619385,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.003356198090834983,-0.003356198090834983,-0.0004320210741131092,True,True,False
AReMActivities,auto_k2_min_0.04,Dense Ridge,5,30.0,,,,2,True,0.04,1.0,"{""2"": 5}",0.5733895262668768,0.0,0.9109366077707814,0.0,0.8412092464597661,0.0,1.4550835330620835,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,0.0,0.001821085300219849,nan,False,False,False
AReMActivities,auto_k2_min_0.04,Dense Ridge,5,100.0,,,,2,True,0.04,1.0,"{""2"": 5}",0.5719614744699092,0.0,0.9091155224705616,1.2412670766236366e-16,0.8390023121022032,1.2412670766236366e-16,1.454216576596745,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,0.0,0.0,nan,False,False,False
AReMActivities,auto_k2_min_0.04,DynVAR-Lasso Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.04,1.0,"{""2"": 5}",0.5721313053294081,0.0,0.9095767313102849,0.0,0.8396643635096582,0.0,1.454485772146349,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.001359876460496512,0.00046120883972333715,0.0,True,False,False
AReMActivities,auto_k2_min_0.04,DynVAR-Lasso Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.04,1.0,"{""2"": 5}",0.5690368213435207,0.0,0.9061913454538397,0.0,0.8355537994584898,1.2412670766236366e-16,1.453147177188716,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.002924177016721874,-0.002924177016721874,0.0,True,True,False
AReMActivities,auto_k2_min_0.04,STCG-v1 Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.04,1.0,"{""2"": 5}",0.5715653378745336,0.0,0.9091719198302292,0.0,0.8388110245169411,0.0,1.4547197319907905,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.0017646879405522897,5.639735966755932e-05,-0.00040481148005577783,True,False,False
AReMActivities,auto_k2_min_0.04,STCG-v1 Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.04,1.0,"{""2"": 5}",0.568235906370142,0.0,0.9057593243797266,0.0,0.8342702349030438,0.0,1.4539258250619385,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.003356198090834983,-0.003356198090834983,-0.0004320210741131092,True,True,False
AReMActivities,auto_k2_min_0.06,Dense Ridge,5,30.0,,,,2,True,0.06,1.0,"{""2"": 5}",0.5733895262668768,0.0,0.9109366077707814,0.0,0.8412092464597661,0.0,1.4550835330620835,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,0.0,0.001821085300219849,nan,False,False,False
AReMActivities,auto_k2_min_0.06,Dense Ridge,5,100.0,,,,2,True,0.06,1.0,"{""2"": 5}",0.5719614744699092,0.0,0.9091155224705616,1.2412670766236366e-16,0.8390023121022032,1.2412670766236366e-16,1.454216576596745,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,0.0,0.0,nan,False,False,False
AReMActivities,auto_k2_min_0.06,DynVAR-Lasso Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.06,1.0,"{""2"": 5}",0.5721313053294081,0.0,0.9095767313102849,0.0,0.8396643635096582,0.0,1.454485772146349,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.001359876460496512,0.00046120883972333715,0.0,True,False,False
AReMActivities,auto_k2_min_0.06,DynVAR-Lasso Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.06,1.0,"{""2"": 5}",0.5690368213435207,0.0,0.9061913454538397,0.0,0.8355537994584898,1.2412670766236366e-16,1.453147177188716,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.002924177016721874,-0.002924177016721874,0.0,True,True,False
AReMActivities,auto_k2_min_0.06,STCG-v1 Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.06,1.0,"{""2"": 5}",0.5715653378745336,0.0,0.9091719198302292,0.0,0.8388110245169411,0.0,1.4547197319907905,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.0017646879405522897,5.639735966755932e-05,-0.00040481148005577783,True,False,False
AReMActivities,auto_k2_min_0.06,STCG-v1 Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.06,1.0,"{""2"": 5}",0.568235906370142,0.0,0.9057593243797266,0.0,0.8342702349030438,0.0,1.4539258250619385,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.003356198090834983,-0.003356198090834983,-0.0004320210741131092,True,True,False
AReMActivities,auto_k2_min_0.08,Dense Ridge,5,30.0,,,,2,True,0.08,1.0,"{""2"": 5}",0.5733895262668768,0.0,0.9109366077707814,0.0,0.8412092464597661,0.0,1.4550835330620835,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,0.0,0.001821085300219849,nan,False,False,False
AReMActivities,auto_k2_min_0.08,Dense Ridge,5,100.0,,,,2,True,0.08,1.0,"{""2"": 5}",0.5719614744699092,0.0,0.9091155224705616,1.2412670766236366e-16,0.8390023121022032,1.2412670766236366e-16,1.454216576596745,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,0.0,0.0,nan,False,False,False
AReMActivities,auto_k2_min_0.08,DynVAR-Lasso Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.08,1.0,"{""2"": 5}",0.5721313053294081,0.0,0.9095767313102849,0.0,0.8396643635096582,0.0,1.454485772146349,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.001359876460496512,0.00046120883972333715,0.0,True,False,False
AReMActivities,auto_k2_min_0.08,DynVAR-Lasso Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.08,1.0,"{""2"": 5}",0.5690368213435207,0.0,0.9061913454538397,0.0,0.8355537994584898,1.2412670766236366e-16,1.453147177188716,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.002924177016721874,-0.002924177016721874,0.0,True,True,False
AReMActivities,auto_k2_min_0.08,STCG-v1 Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.08,1.0,"{""2"": 5}",0.5715653378745336,0.0,0.9091719198302292,0.0,0.8388110245169411,0.0,1.4547197319907905,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.0017646879405522897,5.639735966755932e-05,-0.00040481148005577783,True,False,False
AReMActivities,auto_k2_min_0.08,STCG-v1 Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.08,1.0,"{""2"": 5}",0.568235906370142,0.0,0.9057593243797266,0.0,0.8342702349030438,0.0,1.4539258250619385,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.003356198090834983,-0.003356198090834983,-0.0004320210741131092,True,True,False
AReMActivities,auto_k2_min_0.10,Dense Ridge,5,30.0,,,,2,True,0.1,1.0,"{""2"": 5}",0.5733895262668768,0.0,0.9109366077707814,0.0,0.8412092464597661,0.0,1.4550835330620835,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,0.0,0.001821085300219849,nan,False,False,False
AReMActivities,auto_k2_min_0.10,Dense Ridge,5,100.0,,,,2,True,0.1,1.0,"{""2"": 5}",0.5719614744699092,0.0,0.9091155224705616,1.2412670766236366e-16,0.8390023121022032,1.2412670766236366e-16,1.454216576596745,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,0.0,0.0,nan,False,False,False
AReMActivities,auto_k2_min_0.10,DynVAR-Lasso Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.1,1.0,"{""2"": 5}",0.5721313053294081,0.0,0.9095767313102849,0.0,0.8396643635096582,0.0,1.454485772146349,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.001359876460496512,0.00046120883972333715,0.0,True,False,False
AReMActivities,auto_k2_min_0.10,DynVAR-Lasso Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.1,1.0,"{""2"": 5}",0.5690368213435207,0.0,0.9061913454538397,0.0,0.8355537994584898,1.2412670766236366e-16,1.453147177188716,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.002924177016721874,-0.002924177016721874,0.0,True,True,False
AReMActivities,auto_k2_min_0.10,STCG-v1 Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.1,1.0,"{""2"": 5}",0.5715653378745336,0.0,0.9091719198302292,0.0,0.8388110245169411,0.0,1.4547197319907905,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.0017646879405522897,5.639735966755932e-05,-0.00040481148005577783,True,False,False
AReMActivities,auto_k2_min_0.10,STCG-v1 Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.1,1.0,"{""2"": 5}",0.568235906370142,0.0,0.9057593243797266,0.0,0.8342702349030438,0.0,1.4539258250619385,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.003356198090834983,-0.003356198090834983,-0.0004320210741131092,True,True,False
AReMActivities,auto_k2_min_0.12,Dense Ridge,5,30.0,,,,2,True,0.12,1.0,"{""2"": 5}",0.5733895262668768,0.0,0.9109366077707814,0.0,0.8412092464597661,0.0,1.4550835330620835,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,0.0,0.001821085300219849,nan,False,False,False
AReMActivities,auto_k2_min_0.12,Dense Ridge,5,100.0,,,,2,True,0.12,1.0,"{""2"": 5}",0.5719614744699092,0.0,0.9091155224705616,1.2412670766236366e-16,0.8390023121022032,1.2412670766236366e-16,1.454216576596745,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,0.0,0.0,nan,False,False,False
AReMActivities,auto_k2_min_0.12,DynVAR-Lasso Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.12,1.0,"{""2"": 5}",0.5721313053294081,0.0,0.9095767313102849,0.0,0.8396643635096582,0.0,1.454485772146349,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.001359876460496512,0.00046120883972333715,0.0,True,False,False
AReMActivities,auto_k2_min_0.12,DynVAR-Lasso Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.12,1.0,"{""2"": 5}",0.5690368213435207,0.0,0.9061913454538397,0.0,0.8355537994584898,1.2412670766236366e-16,1.453147177188716,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.002924177016721874,-0.002924177016721874,0.0,True,True,False
AReMActivities,auto_k2_min_0.12,STCG-v1 Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.12,1.0,"{""2"": 5}",0.5715653378745336,0.0,0.9091719198302292,0.0,0.8388110245169411,0.0,1.4547197319907905,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.0017646879405522897,5.639735966755932e-05,-0.00040481148005577783,True,False,False
AReMActivities,auto_k2_min_0.12,STCG-v1 Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.12,1.0,"{""2"": 5}",0.568235906370142,0.0,0.9057593243797266,0.0,0.8342702349030438,0.0,1.4539258250619385,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.003356198090834983,-0.003356198090834983,-0.0004320210741131092,True,True,False
AReMActivities,auto_k2_min_0.16,Dense Ridge,5,30.0,,,,2,True,0.16,1.0,"{""2"": 5}",0.5733895262668768,0.0,0.9109366077707814,0.0,0.8412092464597661,0.0,1.4550835330620835,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,0.0,0.001821085300219849,nan,False,False,False
AReMActivities,auto_k2_min_0.16,Dense Ridge,5,100.0,,,,2,True,0.16,1.0,"{""2"": 5}",0.5719614744699092,0.0,0.9091155224705616,1.2412670766236366e-16,0.8390023121022032,1.2412670766236366e-16,1.454216576596745,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,0.0,0.0,nan,False,False,False
AReMActivities,auto_k2_min_0.16,DynVAR-Lasso Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.16,1.0,"{""2"": 5}",0.5721313053294081,0.0,0.9095767313102849,0.0,0.8396643635096582,0.0,1.454485772146349,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.001359876460496512,0.00046120883972333715,0.0,True,False,False
AReMActivities,auto_k2_min_0.16,DynVAR-Lasso Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.16,1.0,"{""2"": 5}",0.5690368213435207,0.0,0.9061913454538397,0.0,0.8355537994584898,1.2412670766236366e-16,1.453147177188716,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.002924177016721874,-0.002924177016721874,0.0,True,True,False
AReMActivities,auto_k2_min_0.16,STCG-v1 Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.16,1.0,"{""2"": 5}",0.5715653378745336,0.0,0.9091719198302292,0.0,0.8388110245169411,0.0,1.4547197319907905,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.0017646879405522897,5.639735966755932e-05,-0.00040481148005577783,True,False,False
AReMActivities,auto_k2_min_0.16,STCG-v1 Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.16,1.0,"{""2"": 5}",0.568235906370142,0.0,0.9057593243797266,0.0,0.8342702349030438,0.0,1.4539258250619385,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.003356198090834983,-0.003356198090834983,-0.0004320210741131092,True,True,False
AReMActivities,auto_k2_min_0.20,Dense Ridge,5,30.0,,,,2,True,0.2,1.0,"{""2"": 5}",0.5733895262668768,0.0,0.9109366077707814,0.0,0.8412092464597661,0.0,1.4550835330620835,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,0.0,0.001821085300219849,nan,False,False,False
AReMActivities,auto_k2_min_0.20,Dense Ridge,5,100.0,,,,2,True,0.2,1.0,"{""2"": 5}",0.5719614744699092,0.0,0.9091155224705616,1.2412670766236366e-16,0.8390023121022032,1.2412670766236366e-16,1.454216576596745,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,0.0,0.0,nan,False,False,False
AReMActivities,auto_k2_min_0.20,DynVAR-Lasso Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.2,1.0,"{""2"": 5}",0.5721313053294081,0.0,0.9095767313102849,0.0,0.8396643635096582,0.0,1.454485772146349,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.001359876460496512,0.00046120883972333715,0.0,True,False,False
AReMActivities,auto_k2_min_0.20,DynVAR-Lasso Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.2,1.0,"{""2"": 5}",0.5690368213435207,0.0,0.9061913454538397,0.0,0.8355537994584898,1.2412670766236366e-16,1.453147177188716,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.002924177016721874,-0.002924177016721874,0.0,True,True,False
AReMActivities,auto_k2_min_0.20,STCG-v1 Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.2,1.0,"{""2"": 5}",0.5715653378745336,0.0,0.9091719198302292,0.0,0.8388110245169411,0.0,1.4547197319907905,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.0017646879405522897,5.639735966755932e-05,-0.00040481148005577783,True,False,False
AReMActivities,auto_k2_min_0.20,STCG-v1 Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.2,1.0,"{""2"": 5}",0.568235906370142,0.0,0.9057593243797266,0.0,0.8342702349030438,0.0,1.4539258250619385,0.0,0.09828218549989783,0.0,0.9202235688796065,0.0,0.2505899802096966,0.0,0.4873096446700508,0.0,0.9873096446700508,0.0,-0.003356198090834983,-0.003356198090834983,-0.0004320210741131092,True,True,False
AReMActivities,auto_k3_min_0.00,Dense Ridge,5,30.0,,,,3,True,0.0,1.0,"{""3"": 5}",0.5733895262668768,0.0,0.9109366077707814,0.0,0.8412092464597661,0.0,1.4550835330620835,0.0,0.12587850766350084,0.0010062958699417453,0.6830627647193223,0.08855173312663585,0.30863730984585963,0.03482788918215988,0.5218274111675126,0.03754286718193016,0.9873096446700508,0.0,0.0,0.001821085300219849,nan,False,False,False
AReMActivities,auto_k3_min_0.00,Dense Ridge,5,100.0,,,,3,True,0.0,1.0,"{""3"": 5}",0.5719614744699092,0.0,0.9091155224705616,1.2412670766236366e-16,0.8390023121022032,1.2412670766236366e-16,1.454216576596745,0.0,0.12587850766350084,0.0010062958699417453,0.6830627647193223,0.08855173312663585,0.30863730984585963,0.03482788918215988,0.5218274111675126,0.03754286718193016,0.9873096446700508,0.0,0.0,0.0,nan,False,False,False
AReMActivities,auto_k3_min_0.00,DynVAR-Lasso Weighted Ridge,5,30.0,0.01,4.0,1.0,3,True,0.0,1.0,"{""3"": 5}",0.5721313053294081,0.0,0.9095767313102849,0.0,0.8396643635096582,0.0,1.454485772146349,0.0,0.12587850766350084,0.0010062958699417453,0.6830627647193223,0.08855173312663585,0.30863730984585963,0.03482788918215988,0.5218274111675126,0.03754286718193016,0.9873096446700508,0.0,-0.001359876460496512,0.00046120883972333715,0.0,True,False,False
AReMActivities,auto_k3_min_0.00,DynVAR-Lasso Weighted Ridge,5,100.0,0.01,4.0,1.0,3,True,0.0,1.0,"{""3"": 5}",0.5690368213435207,0.0,0.9061913454538397,0.0,0.8355537994584898,1.2412670766236366e-16,1.453147177188716,0.0,0.12587850766350084,0.0010062958699417453,0.6830627647193223,0.08855173312663585,0.30863730984585963,0.03482788918215988,0.5218274111675126,0.03754286718193016,0.9873096446700508,0.0,-0.002924177016721874,-0.002924177016721874,0.0,True,True,False
AReMActivities,auto_k3_min_0.00,STCG-v1 Weighted Ridge,5,30.0,0.01,4.0,1.0,3,True,0.0,1.0,"{""3"": 5}",0.5713542587074901,0.0004791640794446889,0.9089517280206619,0.0006523908820957524,0.83858326744986,0.0006977983973366886,1.454341109276339,0.00031681932549896196,0.12587850766350084,0.0010062958699417453,0.6830627647193223,0.08855173312663585,0.30863730984585963,0.03482788918215988,0.5218274111675126,0.03754286718193016,0.9873096446700508,0.0,-0.001984879750119517,-0.00016379444989966796,-0.0006250032896230051,True,False,False
